,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,wind_direction_E,wind_direction_ENE,wind_direction_ESE,wind_direction_N,wind_direction_NE,wind_direction_NNE,wind_direction_NNW,wind_direction_NW,wind_direction_S,wind_direction_SE,wind_direction_SSE,wind_direction_SSW,wind_direction_SW,wind_direction_VAR,wind_direction_W,wind_direction_WNW,wind_direction_WSW,mood_Cloudy / Windy,mood_Fair,mood_Fair / Windy,mood_Fog,mood_Haze,mood_Heavy Rain,mood_Heavy Rain / Windy,mood_Heavy T-Storm,mood_Heavy T-Storm / Windy,mood_Light Drizzle,mood_Light Drizzle / Windy,mood_Light Rain,mood_Light Rain / Windy,mood_Light Rain with Thunder,mood_Light Snow,mood_Light Snow / Windy,mood_Mostly Cloudy,mood_Mostly Cloudy / Windy,mood_Partly Cloudy,mood_Partly Cloudy / Windy,mood_Rain,mood_Rain / Windy,mood_T-Storm,mood_T-Storm / Windy,mood_Thunder,mood_Thunder / Windy,mood_Thunder in the Vicinity,mood_Wintry Mix,mood_Wintry Mix / Windy,riders
0,2018-04-01 00:51:00,33,19,56,12,0,29.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.0
1,2018-04-01 01:51:00,31,18,59,10,0,29.5,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0
2,2018-04-01 02:51:00,30,17,59,9,0,29.5,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.0
3,2018-04-01 03:51:00,29,13,51,12,0,29.5,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0
4,2018-04-01 04:51:00,27,11,51,10,0,29.5,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0
5,2018-04-01 05:51:00,26,9,49,12,0,29.5,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
6,2018-04-01 06:51:00,25,10,53,9,0,29.5,0.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
7,2018-04-01 07:51:00,27,9,47,12,0,29.5,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.0
8,2018-04-01 08:51:00,28,11,49,8,0,29.5,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67.0
9,2018-04-01 09:51:00,28,12,51,7,0,29.5,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113.0
